description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12,SFA,MUFA,PUFA
Fresh Black Grapes,57,0.81,0.47,10,1,14,37,0.26,0.11,3,6.5,3.51,0.09,6.8,0.03,1.5,0.14,0.11,0,0.11,0.01,0.14
Fresh Green Grapes,69,0.72,0.16,17.2,2,0.07,10,0.36,0.07,3,3.2,7.01,0.19,14.6,0.07,0.07,0.19,0.09,0,0.09,0.01,0.12
Fresh Red Grapes,57,0.81,0.47,10,1,14,37,0.26,0.11,3,6.5,6.57,0.04,3.35,0.08,0.04,0.11,0.1,0,0.09,0.01,0.12
Guava,68,2.55,0.95,8.9,2,22,18,0.26,0.23,31,228,1.46,0.73,2.6,0.07,0.04,1.08,0.11,0,0.27,0.09,0.4
Ripen Jackfruit,72,3.3,0.14,13.49,2.65,29.8,28.62,0.19,0.12,4.15,4.15,0.85,0.06,8.09,0.05,0.01,0.51,0.21,0,0.04,0.04,0.04
Lemon,29,1.1,0.3,6.52,2,8,26,0.6,0.06,1,53,0.43,0.15,0,0.04,0.02,0.1,0.08,0,0.04,0.01,0.09
Lime,30,0.7,0.2,7.7,2,6,33,0.6,0.11,2,29.1,3.72,0.22,0.6,0.03,0.02,0.2,0.04,0,0.02,0.02,0.05
Naran,53,0.81,0.31,11.5,2,12,37,0.15,0.07,34,26.7,3.72,0.2,0,0.06,0.04,0.38,0.08,0,0.04,0.06,0.06
Bud Mango,40,0.57,0.57,7.67,1.32,14.87,13.51,0.57,0.09,173,32.08,0,0.28,5.15,0.03,0.04,0.22,0.1,0,0.17,0.15,0.14
Karthakolomban Mango,79,0.8,0.92,16.7,1.48,6.72,3.12,0.1,0.08,256,17.74,0,0.28,5.15,0.02,0.01,0.39,0.1,0,0.29,0.31,0.14
Tjc Mango,75,0.76,0.98,15.49,1.4,9.35,3.88,0.4,2.28,169,31.85,0,0.23,4.9,0.02,0.01,0.53,0.16,0,0.31,0.35,0.12
Vilad Mango,44,0.76,0.58,8.44,1.6,14.79,16.93,0.65,0.19,146,29.97,0,0.05,5.5,0.02,0.05,0.29,0.26,0,0.19,0.19,0.08
Mangosteen,52,0.63,0.24,11.41,3.79,12,4.69,0.28,0.21,0.3,26.33,0,0.38,33.18,0.01,0.01,0.58,0.18,0,0.18,0.17,0.09
Ceylon Olive,80,1.48,0.27,17.73,1.99,17.66,21.11,0.51,0.18,9.94,23.99,0,0.01,7.1,0,0.17,1.45,0.24,0,0.11,0.03,0.07
Orange,47,0.94,0.12,9.4,9,10.7,43,0.33,0.11,11,53.2,0,0.18,0,0.09,0.04,0.28,0.06,0,0.01,0.02,0.03
Papaya,43,0.47,0.26,9.1,8,21,20,0.25,0.08,47,60.9,0,0.3,2.6,0.02,0.03,0.36,0.04,0,0.08,0.07,0.06
Passion Fruit,97,2.2,0.7,13,28,29,12,1.6,0.1,64,30,0,0.02,0.7,0,0.13,1.5,0.1,0,0.06,0.09,0.41
Pear,42,0.5,0.23,7,0,8,4,0,0.02,0,3.8,0,0.12,4.5,0.01,0.01,0.22,0.02,0,0.01,0.05,0.05
Pineapple,45,0.55,0.13,10.4,1,12,13,0.25,0.08,3,16.9,0,0.02,0.7,0.08,0.03,0.47,0.11,0,0.01,0.01,0.04
Pomegranate,83,1.67,1.17,14.7,3,12,10,0.3,0.35,0,10.2,0,0.6,16.4,0.07,0.05,0.29,0.08,0,0.12,0.09,0.08
Raisins,296,2.52,0.54,71.7,28,30,28,2.59,0.18,0,5.4,0,0.02,1.8,0.11,0.18,1.11,0.19,0,0.18,0.02,0.16
Rambutan,73,0.68,0.16,16.84,1.75,21.38,8.67,0.37,0.55,0.48,65,0.65,0.27,4,0.11,0.01,0.26,0.04,0,0.14,0.16,0.36
Rose Apple,25,0.6,0.3,4.6,0,5,29,0.07,0.06,17,22.3,1.43,0.04,2.5,0.02,0.03,0.8,0.04,0,0.07,0.02,0.05
Sapota,78,0.9,1.28,15.02,4.63,16.85,17.97,0.35,0.15,13.15,26.07,3.24,0.06,2.6,0.01,0.02,0.21,0.12,0,0.39,0.25,0.35
Soursop,66,1,0.3,13.5,14,21,14,0.6,0.1,0,20.6,0,0.08,0.4,0.07,0.05,0.9,0.06,0,0.05,0.09,0.07
Star Fruit,31,1.04,0.33,3.93,2,10,3,0.08,0.12,3,34.4,0,0.15,0,0.01,0.02,0.37,0.02,0,0.02,0.03,0.18
Strawberry,35,0.64,0.22,5.33,10,11.8,12,0.28,0.18,1,56,26.21,0.11,2.1,0.03,0.02,0.39,0.04,0,0.01,0.04,0.16
Tamarind,239,2.8,0.6,57.4,28,92,74,2.8,0.1,2,3.5,0,0.1,2.8,0.43,0.15,1.94,0.07,0,0.27,0.18,0.06
Water Melon,30,0.61,0.15,7.15,1,10,7,0.24,0.1,28,8.1,0,0.05,0.1,0.03,0.02,0.18,0.05,0,0.02,0.04,0.05
Wood Apple,78,3.09,3.62,7.43,1.45,25.16,59.15,0.45,0.32,0.46,13.58,0,0,0,0.03,0.01,0.56,0.14,0,0.87,0.57,1.45
Fruit Salad,86.09,0.77,0.45,19.57,5.3,19.82,16.05,0.38,0.12,42.81,34.4,0,0.32,2.9,0.03,0.04,0.52,0.18,0,0.14,0.07,0.12
Fish Ambul Thiyal,99.79,19.31,0.69,1.9,814.63,35.73,25.83,1.15,0.42,15.11,4.81,1.3,0.66,4.8,0.1,0.1,14.26,0.75,1.59,0.19,0.26,0.19
